NCBI_GeneID,Gene_Type,Ortholog_Num,Dmel ID,Type
LOC120284353,PROTEIN_CODING,0,,[4]
LOC120284354,PROTEIN_CODING,1,['LOC3355011'],"[1, 2]"
LOC120284355,ncRNA,0,,[2]
LOC120284356,PROTEIN_CODING,0,,[4]
LOC120284357,PROTEIN_CODING,0,,[4]
LOC120284358,PROTEIN_CODING,1,['LOC54520445'],[1]
LOC120284359,PROTEIN_CODING,0,,[4]
LOC120284360,PSEUDO,0,,
LOC120284361,PROTEIN_CODING,0,,[4]
LOC120284362,ncRNA,0,,[4]
LOC120284363,ncRNA,0,,[2]
LOC120284364,PROTEIN_CODING,1,['LOC36216'],[1]
LOC120284367,ncRNA,0,,[4]
LOC120284368,ncRNA,0,,[2]
LOC120284371,ncRNA,0,,[2]
LOC120284372,PROTEIN_CODING,0,,[4]
LOC120284375,ncRNA,0,,[2]
LOC120284376,PSEUDO,0,,
LOC120284377,PROTEIN_CODING,0,,[4]
LOC120284380,ncRNA,0,,[2]
LOC120284381,ncRNA,0,,[4]
LOC120284383,PSEUDO,0,,
LOC120284384,PROTEIN_CODING,1,['LOC10178908'],[1]
LOC120284388,ncRNA,1,['LOC19834916'],[1]
LOC120284390,ncRNA,0,,[2]
LOC120284391,ncRNA,0,,[4]
LOC120284392,ncRNA,0,,[4]
LOC120284393,ncRNA,0,,[4]
LOC120284395,ncRNA,0,,[4]
LOC120284396,ncRNA,1,['LOC12798451'],[1]
LOC120284397,ncRNA,0,,[4]
LOC120284398,ncRNA,0,,[4]
LOC120284399,ncRNA,0,,[4]
LOC120284400,ncRNA,0,,[4]
LOC120284401,PROTEIN_CODING,0,,[4]
LOC120284403,PROTEIN_CODING,0,,[3]
LOC120284404,PROTEIN_CODING,0,,[2]
LOC120284406,PROTEIN_CODING,0,,[4]
LOC120284407,PROTEIN_CODING,1,['LOC12798466'],[1]
LOC120284408,PROTEIN_CODING,0,,[4]
LOC120284409,ncRNA,0,,[4]
LOC120284410,ncRNA,0,,[4]
LOC120284411,PROTEIN_CODING,1,['LOC19834768'],[1]
LOC120284412,ncRNA,0,,[4]
LOC120284413,ncRNA,0,,[4]
LOC120284414,ncRNA,0,,[4]
LOC120284415,ncRNA,1,['LOC19835108'],[1]
LOC120284417,PROTEIN_CODING,0,,[2]
LOC120284419,ncRNA,0,,[4]
LOC120284420,ncRNA,0,,[2]
LOC120284421,ncRNA,0,,[4]
LOC120284422,PROTEIN_CODING,0,,[2]
LOC120284423,ncRNA,1,['LOC19834874'],[1]
LOC120284425,PROTEIN_CODING,1,['LOC37093'],"[2, 1]"
LOC120284426,PROTEIN_CODING,1,['LOC37094'],"[1, 2]"
LOC120284427,ncRNA,0,,[4]
LOC120284430,ncRNA,1,['LOC3771755'],[1]
LOC120284431,ncRNA,0,,[4]
LOC120284432,ncRNA,0,,[4]
LOC120284433,PROTEIN_CODING,1,['LOC39877389'],[1]
LOC120284434,PROTEIN_CODING,0,,[4]
LOC120284435,PSEUDO,0,,
LOC120284436,PROTEIN_CODING,1,['LOC30522408'],[1]
LOC120284437,ncRNA,0,,[4]
LOC120284438,ncRNA,0,,[2]
LOC120284439,ncRNA,0,,[2]
LOC120284440,PROTEIN_CODING,1,['LOC35938'],[1]
LOC120284441,PROTEIN_CODING,1,['LOC35932'],[1]
LOC120284443,ncRNA,0,,[2]
LOC120284444,PROTEIN_CODING,1,['LOC12798406'],[1]
LOC120284445,PROTEIN_CODING,0,,[4]
LOC120284446,ncRNA,0,,[2]
LOC120284447,PROTEIN_CODING,0,,[4]
LOC120284448,PROTEIN_CODING,1,['LOC54520437'],[1]
LOC120284450,ncRNA,0,,[4]
LOC120284451,PROTEIN_CODING,1,['LOC37454'],[1]
LOC120284455,ncRNA,1,['LOC3771726'],[1]
LOC120284457,ncRNA,0,,[2]
LOC120284458,ncRNA,0,,[4]
LOC120284459,ncRNA,1,['LOC14462569'],[1]
LOC120284460,ncRNA,0,,[2]
LOC120284461,ncRNA,0,,[2]
LOC120284462,PROTEIN_CODING,1,['LOC14462597'],[1]
LOC120284463,ncRNA,0,,[4]
LOC120284464,ncRNA,0,,[4]
LOC120284465,ncRNA,0,,[4]
LOC120284467,ncRNA,1,['LOC19836064'],[1]
LOC120284468,ncRNA,0,,[2]
LOC120284471,ncRNA,0,,[2]
LOC120284472,PROTEIN_CODING,0,,[2]
LOC120284473,ncRNA,0,,[2]
LOC120284477,ncRNA,0,,[2]
LOC120284478,ncRNA,1,['LOC19835573'],[1]
LOC120284480,ncRNA,0,,[2]
LOC120284481,ncRNA,0,,[2]
LOC120284482,PROTEIN_CODING,0,,[2]
LOC120284483,PROTEIN_CODING,0,,[2]
LOC120284484,PROTEIN_CODING,0,,[2]
LOC120284485,PROTEIN_CODING,1,['LOC54520436'],[1]
LOC120284486,PROTEIN_CODING,1,['LOC37183'],[1]
LOC120284488,PROTEIN_CODING,3,"['LOC246404', 'LOC48343', 'LOC36221']","[1, 1, 1]"
LOC120284489,ncRNA,1,['LOC19834935'],[1]
LOC120284490,ncRNA,0,,[4]
