mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-1225-5p,1.0,1.0,1.0,0,1,0.0,1268,26380,0.04806671721000758,0.0
hsa-miR-1226-3p,1.0,1.0,1.0,0,1,0.0,312,26380,0.011827141774071267,0.0
hsa-miR-1226-5p,1.0,1.0,1.0,0,1,0.0,224,26380,0.00849128127369219,0.0
hsa-miR-1229-3p,1.0,1.0,1.0,0,1,0.0,28,26380,0.0010614101592115238,0.0
hsa-miR-122b-5p,1.0,1.0,1.0,0,1,0.0,44,26380,0.0016679302501895375,0.0
hsa-miR-1234-3p,1.0,1.0,1.0,0,1,0.0,140,26380,0.00530705079605762,0.0
hsa-miR-1236-3p,1.0,1.0,1.0,0,1,0.0,90,26380,0.003411675511751327,0.0
hsa-miR-1237-3p,1.0,1.0,1.0,0,1,0.0,18,26380,0.0006823351023502654,0.0
hsa-miR-124-3p,1.0,1.0,1.0,0,1,0.0,7627,26380,0.2891205458680819,0.0
hsa-miR-124-5p,1.0,1.0,1.0,0,1,0.0,660,26380,0.025018953752843062,0.0
hsa-miR-1244,1.0,1.0,1.0,0,1,0.0,40,26380,0.001516300227445034,0.0
hsa-miR-1246,1.0,1.0,1.0,0,1,0.0,456,26380,0.01728582259287339,0.0
hsa-miR-1247-5p,1.0,1.0,1.0,0,1,0.0,48,26380,0.0018195602729340408,0.0
hsa-miR-1248,1.0,1.0,1.0,0,1,0.0,58,26380,0.0021986353297952996,0.0
hsa-miR-1249-3p,1.0,1.0,1.0,0,1,0.0,234,26380,0.00887035633055345,0.0
hsa-miR-1250-5p,1.0,1.0,1.0,0,1,0.0,112,26380,0.004245640636846095,0.0
hsa-miR-1251-5p,1.0,1.0,1.0,0,1,0.0,87,26380,0.0032979529946929494,0.0
hsa-miR-1252-5p,1.0,1.0,1.0,0,1,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-1255a,1.0,1.0,1.0,0,1,0.0,387,26380,0.014670204700530706,0.0
hsa-miR-125a-3p,1.0,1.0,1.0,0,1,0.0,2413,26380,0.09147081122062169,0.0
hsa-miR-125a-5p,1.0,1.0,1.0,0,1,0.0,1677,26380,0.06357088703563306,0.0
hsa-miR-125b-1-3p,1.0,1.0,1.0,0,1,0.0,1936,26380,0.07338893100833965,0.0
hsa-miR-125b-2-3p,1.0,1.0,1.0,0,1,0.0,965,26380,0.03658074298711145,0.0
hsa-miR-125b-5p,1.0,1.0,1.0,0,1,0.0,1866,26380,0.07073540561031084,0.0
hsa-miR-126-3p,1.0,1.0,1.0,0,1,0.0,1162,26380,0.04404852160727824,0.0
hsa-miR-126-5p,1.0,1.0,1.0,0,1,0.0,1149,26380,0.043555724033358605,0.0
hsa-miR-1260a,1.0,1.0,1.0,0,1,0.0,105,26380,0.003980288097043215,0.0
hsa-miR-1260b,1.0,1.0,1.0,0,1,0.0,153,26380,0.005799848369977255,0.0
hsa-miR-1262,1.0,1.0,1.0,0,1,0.0,102,26380,0.003866565579984837,0.0
hsa-miR-1263,1.0,1.0,1.0,0,1,0.0,36,26380,0.0013646702047005307,0.0
hsa-miR-1264,1.0,1.0,1.0,0,1,0.0,374,26380,0.014177407126611068,0.0
hsa-miR-1266-5p,1.0,1.0,1.0,0,1,0.0,987,26380,0.037414708112206214,0.0
hsa-miR-1267,1.0,1.0,1.0,0,1,0.0,6,26380,0.0002274450341167551,0.0
hsa-miR-1268a,1.0,1.0,1.0,0,1,0.0,137,26380,0.005193328278999242,0.0
hsa-miR-1268b,1.0,1.0,1.0,0,1,0.0,125,26380,0.0047384382107657315,0.0
hsa-miR-1269a,1.0,1.0,1.0,0,1,0.0,641,26380,0.02429871114480667,0.0
hsa-miR-1269b,1.0,1.0,1.0,0,1,0.0,490,26380,0.018574677786201668,0.0
hsa-miR-127-3p,1.0,1.0,1.0,0,1,0.0,456,26380,0.01728582259287339,0.0
hsa-miR-127-5p,1.0,1.0,1.0,0,1,0.0,1348,26380,0.05109931766489765,0.0
hsa-miR-1270,1.0,1.0,1.0,0,1,0.0,1125,26380,0.04264594389689159,0.0
hsa-miR-1271-3p,1.0,1.0,1.0,0,1,0.0,722,26380,0.027369219105382866,0.0
hsa-miR-1271-5p,1.0,1.0,1.0,0,1,0.0,3176,26380,0.12039423805913571,0.0
hsa-miR-1273h-3p,1.0,1.0,1.0,0,1,0.0,102,26380,0.003866565579984837,0.0
hsa-miR-1273h-5p,1.0,1.0,1.0,0,1,0.0,920,26380,0.034874905231235785,0.0
